

1559836073.376326123  Node Startup
1559836075.879862785 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG63/msgClass
1559836076.121954202 INFO [switch_thread.py:239(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] Sent Disable RMC
1559836076.123004198 ERROR [switch_thread.py:212(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] cfg_name
1559836076.128938436 WARN [switch_thread.py:216(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] {'ioPorts': [0, 0, 0, 0, 0, 0], 'msgId': 5, 'class': '06', 'msgClass': 240, 'desc': 'Disable VTG', 'id': '01'}
1559836076.130435228 INFO [switch_thread.py:239(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] Sent Disable VTG
1559836076.131389141 ERROR [switch_thread.py:212(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] cfg_name
1559836076.137376546 WARN [switch_thread.py:216(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] {'ioPorts': [0, 0, 0, 0, 0, 0], 'msgId': 10, 'class': '06', 'msgClass': 240, 'desc': 'Disable DTM', 'id': '01'}
1559836076.138902664 INFO [switch_thread.py:239(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] Sent Disable DTM
1559836076.139928340 ERROR [switch_thread.py:212(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] cfg_name
1559836076.145848274 WARN [switch_thread.py:216(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] {'ioPorts': [0, 0, 0, 0, 0, 0], 'msgId': 13, 'class': '06', 'msgClass': 240, 'desc': 'Disable GNS', 'id': '01'}
1559836076.147395610 INFO [switch_thread.py:239(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] Sent Disable GNS
1559836076.148485660 ERROR [switch_thread.py:212(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] cfg_name
1559836076.154759168 WARN [switch_thread.py:216(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] {'ioPorts': [0, 0, 0, 0, 0, 0], 'msgId': 6, 'class': '06', 'msgClass': 240, 'desc': 'Disable GRS', 'id': '01'}
1559836076.156435966 INFO [switch_thread.py:239(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] Sent Disable GRS
1559836076.157541751 ERROR [switch_thread.py:212(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] cfg_name
1559836076.163776397 WARN [switch_thread.py:216(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] {'ioPorts': [0, 0, 0, 0, 0, 0], 'msgId': 7, 'class': '06', 'msgClass': 240, 'desc': 'Disable GST', 'id': '01'}
1559836076.165347814 INFO [switch_thread.py:239(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] Sent Disable GST
1559836076.166578769 ERROR [switch_thread.py:212(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] cfg_name
1559836076.172491550 WARN [switch_thread.py:216(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] {'ioPorts': [0, 0, 0, 0, 0, 0], 'msgId': 8, 'class': '06', 'msgClass': 240, 'desc': 'Disable ZDA', 'id': '01'}
1559836076.174004316 INFO [switch_thread.py:239(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] Sent Disable ZDA
1559836076.175132274 ERROR [switch_thread.py:212(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] cfg_name
1559836076.181161165 WARN [switch_thread.py:216(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] {'ioPorts': [0, 0, 0, 0, 0, 0], 'msgId': 9, 'class': '06', 'msgClass': 240, 'desc': 'Disable GBS', 'id': '01'}
1559836076.182731628 INFO [switch_thread.py:239(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] Sent Disable GBS
1559836076.184015035 ERROR [switch_thread.py:212(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] cfg_name
1559836076.189967870 WARN [switch_thread.py:216(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] {'ioPorts': [0, 0, 0, 0, 0, 0], 'msgId': 15, 'class': '06', 'msgClass': 240, 'desc': 'Disable VLW', 'id': '01'}
1559836076.191516637 INFO [switch_thread.py:239(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] Sent Disable VLW
1559836076.192500829 ERROR [switch_thread.py:212(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] cfg_name
1559836076.198562383 WARN [switch_thread.py:216(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] {'ioPorts': [0, 0, 0, 0, 0, 0], 'msgId': 5, 'class': '06', 'msgClass': 245, 'desc': 'F5-05 RTCM 1005', 'id': '01'}
1559836076.199978351 INFO [switch_thread.py:239(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] Sent F5-05 RTCM 1005
1559836076.200937032 ERROR [switch_thread.py:212(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] cfg_name
1559836076.206820964 WARN [switch_thread.py:216(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] {'ioPorts': [0, 0, 0, 0, 0, 0], 'msgId': 77, 'class': '06', 'msgClass': 245, 'desc': 'F5-4D RTCM 1077', 'id': '01'}
1559836076.208235263 INFO [switch_thread.py:239(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] Sent F5-4D RTCM 1077
1559836076.209134817 ERROR [switch_thread.py:212(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] cfg_name
1559836076.218698740 WARN [switch_thread.py:216(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] {'ioPorts': [0, 0, 0, 0, 0, 0], 'msgId': 87, 'class': '06', 'msgClass': 245, 'desc': 'F5-57 RTCM 1087', 'id': '01'}
1559836076.220314979 INFO [switch_thread.py:239(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] Sent F5-57 RTCM 1087
1559836076.221436977 ERROR [switch_thread.py:212(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] cfg_name
1559836076.227519035 WARN [switch_thread.py:216(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] {'ioPorts': [0, 0, 0, 0, 0, 0], 'msgId': 230, 'class': '06', 'msgClass': 245, 'desc': 'F5-E6 RTCM 1230', 'id': '01'}
1559836076.228923082 INFO [switch_thread.py:239(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] Sent F5-E6 RTCM 1230
1559836076.230278730 ERROR [switch_thread.py:212(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] cfg_name
1559836076.236509799 WARN [switch_thread.py:216(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] {'prot_in': 32, 'class': '06', 'prot_out': 0, 'rate': 19200, 'desc': 'UBX-CFG-PRT', 'id': '00'}
1559836076.238091707 INFO [switch_thread.py:239(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] Sent UBX-CFG-PRT
1559836076.239303350 ERROR [switch_thread.py:212(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] cfg_name
1559836076.244517087 INFO [switch_thread.py:244(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] Payload missing
1559836076.245666742 ERROR [switch_thread.py:212(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] cfg_name
1559836076.250936031 INFO [switch_thread.py:244(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] Payload missing
1559836076.252323865 ERROR [switch_thread.py:212(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] cfg_name
1559836076.257660150 INFO [switch_thread.py:244(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] Payload missing
1559836076.258988857 ERROR [switch_thread.py:212(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] cfg_name
1559836076.264443635 INFO [switch_thread.py:244(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] Payload missing
1559836076.265727519 ERROR [switch_thread.py:212(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] cfg_name
1559836076.271109580 INFO [switch_thread.py:244(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] Payload missing
1559836076.272177696 ERROR [switch_thread.py:212(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] cfg_name
1559836076.277369737 INFO [switch_thread.py:244(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] Payload missing
1559836076.278552055 ERROR [switch_thread.py:212(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] cfg_name
1559836076.284051418 INFO [switch_thread.py:244(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] Payload missing
1559836076.285019159 ERROR [switch_thread.py:212(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] cfg_name
1559836076.290394544 INFO [switch_thread.py:244(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] Payload missing
1559836076.291392087 ERROR [switch_thread.py:212(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] cfg_name
1559836076.296667098 INFO [switch_thread.py:244(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] Payload missing
1559836076.297622203 ERROR [switch_thread.py:212(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] cfg_name
1559836076.302711486 INFO [switch_thread.py:244(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] Payload missing
1559836076.303839445 ERROR [switch_thread.py:212(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] cfg_name
1559836076.309095621 INFO [switch_thread.py:244(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] Payload missing
1559836076.310308933 ERROR [switch_thread.py:212(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] cfg_name
1559836076.315607786 INFO [switch_thread.py:244(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] Payload missing
1559836076.316738605 ERROR [switch_thread.py:212(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] cfg_name
1559836076.321859598 INFO [switch_thread.py:244(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] Payload missing
1559836076.322951316 ERROR [switch_thread.py:212(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] cfg_name
1559836076.328371763 INFO [switch_thread.py:244(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] Payload missing
1559836076.329611778 ERROR [switch_thread.py:212(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] cfg_name
1559836076.334748506 INFO [switch_thread.py:244(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] Payload missing
1559836076.335835933 ERROR [switch_thread.py:212(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] cfg_name
1559836076.340945243 INFO [switch_thread.py:244(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] Payload missing
1559836076.342409610 ERROR [switch_thread.py:212(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] cfg_name
1559836076.347771406 INFO [switch_thread.py:244(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] Payload missing
1559836076.348753690 ERROR [switch_thread.py:212(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] cfg_name
1559836076.353917837 INFO [switch_thread.py:244(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] Payload missing
1559836076.355026245 ERROR [switch_thread.py:212(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] cfg_name
1559836076.359819173 INFO [switch_thread.py:244(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] Payload missing
1559836076.361157417 ERROR [switch_thread.py:212(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] cfg_name
1559836076.366322994 INFO [switch_thread.py:244(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] Payload missing
1559836076.367340087 ERROR [switch_thread.py:212(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] cfg_name
1559836076.372442960 INFO [switch_thread.py:244(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] Payload missing
1559836076.373827219 ERROR [switch_thread.py:212(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] cfg_name
1559836076.379982948 INFO [switch_thread.py:244(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] Payload missing
1559836076.381342411 ERROR [switch_thread.py:212(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] cfg_name
1559836076.386959075 INFO [switch_thread.py:244(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] Payload missing
1559836076.388022899 ERROR [switch_thread.py:212(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] cfg_name
1559836076.393309354 INFO [switch_thread.py:244(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] Payload missing
1559836076.395503997 INFO [gnss_message_parser.py:292(read_msg_ubx) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] 
Class: 0x5  ID: 0x1  Len:2 [0x2]
000: b5 62 05 01 02 00 06 01  0f 38 
1559836076.396466493 INFO [switch_thread.py:292(handle_050x) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] ACK. Class: 0x6  Message ID: 0x1
1559836076.398818254 INFO [gnss_message_parser.py:292(read_msg_ubx) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] 
Class: 0x5  ID: 0x1  Len:2 [0x2]
000: b5 62 05 01 02 00 06 01  0f 38 
1559836076.399832487 INFO [switch_thread.py:292(handle_050x) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] ACK. Class: 0x6  Message ID: 0x1
1559836076.402132272 INFO [gnss_message_parser.py:292(read_msg_ubx) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] 
Class: 0x5  ID: 0x1  Len:2 [0x2]
000: b5 62 05 01 02 00 06 01  0f 38 
1559836076.403225898 INFO [switch_thread.py:292(handle_050x) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] ACK. Class: 0x6  Message ID: 0x1
1559836076.405474424 INFO [gnss_message_parser.py:292(read_msg_ubx) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] 
Class: 0x5  ID: 0x1  Len:2 [0x2]
000: b5 62 05 01 02 00 06 01  0f 38 
1559836076.406764030 INFO [switch_thread.py:292(handle_050x) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] ACK. Class: 0x6  Message ID: 0x1
1559836076.408890485 INFO [gnss_message_parser.py:292(read_msg_ubx) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] 
Class: 0x5  ID: 0x1  Len:2 [0x2]
000: b5 62 05 01 02 00 06 01  0f 38 
1559836076.410041570 INFO [switch_thread.py:292(handle_050x) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] ACK. Class: 0x6  Message ID: 0x1
1559836076.412153720 INFO [gnss_message_parser.py:292(read_msg_ubx) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] 
Class: 0x5  ID: 0x1  Len:2 [0x2]
000: b5 62 05 01 02 00 06 01  0f 38 
1559836076.413056612 INFO [switch_thread.py:292(handle_050x) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] ACK. Class: 0x6  Message ID: 0x1
1559836076.415305852 INFO [gnss_message_parser.py:292(read_msg_ubx) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] 
Class: 0x5  ID: 0x1  Len:2 [0x2]
000: b5 62 05 01 02 00 06 01  0f 38 
1559836076.416544437 INFO [switch_thread.py:292(handle_050x) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] ACK. Class: 0x6  Message ID: 0x1
1559836076.422457218 INFO [gnss_message_parser.py:292(read_msg_ubx) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] 
Class: 0x1  ID: 0x6  Len:52 [0x34]
000: b5 62 01 06 34 00 30 92  fd 17 c8 cd 04 00 08 08 
010: 03 dd 95 b5 9d ef 82 61  89 e7 b8 19 f8 17 b1 03 
020: 00 00 f6 ff ff ff f5 ff  ff ff 00 00 00 00 43 00 
030: 00 00 da 00 02 0a 12 19  b6 03 49 1e 
1559836076.423671245 INFO [gnss_node:220(handle_0106) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] !!!NEW CYCLE!!!
1559836076.424841642 INFO [gnss_node:224(handle_0106) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] {'week': 2056}
1559836076.433633327 INFO [gnss_message_parser.py:292(read_msg_ubx) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] 
Class: 0x1  ID: 0x7  Len:92 [0x5c]
000: b5 62 01 07 5c 00 30 92  fd 17 e3 07 06 06 0f 2f 
010: 38 37 11 00 00 00 ca cd  04 00 03 01 ea 0a 4e da 
020: 33 b6 71 5e 72 17 8a 80  00 00 91 f2 00 00 14 14 
030: 00 00 fd 1e 00 00 a3 ff  ff ff ee ff ff ff 91 ff 
040: ff ff 5f 00 00 00 c7 38  03 00 9b 02 00 00 b3 39 
050: 76 00 da 00 00 00 12 19  26 3b 00 00 00 00 00 00 
060: 00 00 99 a5 
1559836076.435013294 INFO [gnss_node:244(handle_0107) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] {'year': 2019, 'velD': -0.111, 'velE': -0.018000000000000002, 'iTOW': 402494000, 'week': 2056, 'lon': -1238115762, 'hAcc': 5.14, 'vAcc': 7.933, 'lat': 393371249, 'sAcc': 0.667, 'velN': -0.093, 'fixType': 3}
1559836076.438252210 INFO [gnss_message_parser.py:292(read_msg_ubx) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] 
Class: 0x1  ID: 0x3  Len:16 [0x10]
000: b5 62 01 03 10 00 30 92  fd 17 03 dd 00 08 71 4f 
010: 06 00 b1 59 53 05 fa 36 
1559836076.439541101 INFO [gnss_node:205(handle_0103) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] {'diffSoln': 0, 'diffCorr': 0, 'gpsFix': 3}
1559836076.442843914 INFO [gnss_message_parser.py:292(read_msg_ubx) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] 
Class: 0x1  ID: 0x4  Len:18 [0x12]
000: b5 62 01 04 12 00 30 92  fd 17 fb 00 da 00 7b 00 
010: c0 00 68 00 59 00 35 00  f3 0b 
1559836076.444147109 INFO [gnss_node:214(handle_0104) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] {'year': 2019, 'velD': -0.111, 'hDop': 1.04, 'velE': -0.018000000000000002, 'iTOW': 402494000, 'week': 2056, 'lon': -1238115762, 'hAcc': 5.14, 'vAcc': 7.933, 'lat': 393371249, 'sAcc': 0.667, 'vDop': 1.92, 'velN': -0.093, 'fixType': 3}
1559836076.449112653 INFO [gnss_message_parser.py:292(read_msg_ubx) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] 
Class: 0x1  ID: 0x3b  Len:40 [0x28]
000: b5 62 01 3b 28 00 00 00  00 00 30 92 fd 17 00 00 
010: 00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00 
020: 00 00 00 00 00 00 00 00  00 00 00 00 00 00 3a ec 
1559836076.450470685 INFO [gnss_node:262(handle_013B) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] {'valid': 0, 'meanAcc': 0.0, 'active': 0}
1559836076.456402540 INFO [gnss_message_parser.py:311(cb_undef) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] undef $GNRMC
1559836076.460161924 INFO [gnss_message_parser.py:311(cb_undef) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] undef $GNVTG
1559836076.466716527 INFO [mavlink_gps_input.py:62(fmt) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] 
{'year': 2019, 'alt': 62.1, 'velD': -0.111, 'hDop': 1.04, 'velE': -0.018000000000000002, 'iTOW': 402494000, 'week': 2056, 'lon': -1238115762, 'hAcc': 5.14, 'sats': 11, 'vAcc': 7.933, 'lat': 393371249, 'sAcc': 0.667, 'vDop': 1.92, 'velN': -0.093, 'fixType': 3}
1559836076.468986034 INFO [gnss_node:281(handle_gga) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] {'year': 2019, 'alt': 62.1, 'velD': -0.111, 'hDop': 1.04, 'velE': -0.018000000000000002, 'iTOW': 402494000, 'week': 2056, 'lon': -1238115762, 'hAcc': 5.14, 'sats': 11, 'vAcc': 7.933, 'lat': 393371249, 'sAcc': 0.667, 'vDop': 1.92, 'velN': -0.093, 'fixType': 3}
1559836076.470103025 INFO [gnss_node:282(handle_gga) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] Wrote GPS_INPUT message

1559836076.475318193 INFO [gnss_message_parser.py:311(cb_undef) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] undef $GNGSA
1559836076.479989767 INFO [gnss_message_parser.py:311(cb_undef) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] undef $GNGSA
1559836076.485548257 INFO [gnss_message_parser.py:311(cb_undef) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] undef $GPGSV
1559836076.491421937 INFO [gnss_message_parser.py:311(cb_undef) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] undef $GPGSV
1559836076.497269630 INFO [gnss_message_parser.py:311(cb_undef) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] undef $GPGSV
1559836076.501839160 INFO [gnss_message_parser.py:311(cb_undef) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] undef $GPGSV
1559836076.507807493 INFO [gnss_message_parser.py:311(cb_undef) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] undef $GLGSV
1559836076.513811349 INFO [gnss_message_parser.py:311(cb_undef) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] undef $GLGSV
1559836076.518134593 INFO [gnss_message_parser.py:311(cb_undef) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] undef $GLGSV
1559836076.522929191 INFO [gnss_message_parser.py:311(cb_undef) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] undef $GNGLL
1559836076.524930000 INFO [gnss_message_parser.py:292(read_msg_ubx) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] 
Class: 0x5  ID: 0x1  Len:2 [0x2]
000: b5 62 05 01 02 00 06 01  0f 38 
1559836076.526072025 INFO [switch_thread.py:292(handle_050x) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] ACK. Class: 0x6  Message ID: 0x1
1559836076.528197288 INFO [gnss_message_parser.py:292(read_msg_ubx) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] 
Class: 0x5  ID: 0x1  Len:2 [0x2]
000: b5 62 05 01 02 00 06 01  0f 38 
1559836076.529178380 INFO [switch_thread.py:292(handle_050x) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] ACK. Class: 0x6  Message ID: 0x1
1559836076.531326293 INFO [gnss_message_parser.py:292(read_msg_ubx) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] 
Class: 0x5  ID: 0x1  Len:2 [0x2]
000: b5 62 05 01 02 00 06 01  0f 38 
